"time","n.risk","n.event","survival","std.err","lower","upper","strata"
760,97,1,0.64936404504089,0.034162400783349,0.585743349257336,0.719894922454531,"axis_group_median=high"
761,96,1,0.642599836238381,0.0344697000713099,0.578470618864888,0.713838414721702,"axis_group_median=high"
807,89,1,0.635379613359298,0.0348303870846741,0.570652747157199,0.707448189960961,"axis_group_median=high"
808,88,1,0.628159390480215,0.0351749912788676,0.562866227801729,0.701026638939631,"axis_group_median=high"
826,85,1,0.620769280003977,0.035529002361251,0.554897405124313,0.694460805615635,"axis_group_median=high"
864,79,1,0.612911441016585,0.03593771135568,0.546371469504754,0.68755499782874,"axis_group_median=high"
896,75,1,0.604739288469697,0.0363758410830501,0.53748620707727,0.680407426652831,"axis_group_median=high"
905,74,1,0.596567135922809,0.0367907981644598,0.528646070369267,0.673214779435602,"axis_group_median=high"
949,69,1,0.587921235402189,0.0372596519835586,0.519247053903356,0.66567807450896,"axis_group_median=high"
950,67,1,0.579146291590216,0.0377226732317739,0.509735989129997,0.658008134044388,"axis_group_median=high"
976,66,1,0.570371347778243,0.0381580727357798,0.500278656709243,0.65028453643475,"axis_group_median=high"
995,65,1,0.56159640396627,0.0385667860134794,0.490873216202904,0.642509125650641,"axis_group_median=high"
1043,62,1,0.552538397450685,0.0389939419783579,0.481161817807598,0.634503132539604,"axis_group_median=high"
1046,61,1,0.5434803909351,0.0393927052314096,0.47150558246888,0.626442074735062,"axis_group_median=high"
1073,57,1,0.533945647234484,0.0398388082411586,0.46130388511676,0.618026345320052,"axis_group_median=high"
1081,56,1,0.524410903533868,0.0402522226204666,0.451165634598891,0.609547302931667,"axis_group_median=high"
1115,54,1,0.514699590505463,0.0406614221244794,0.440868069274444,0.600895567017306,"axis_group_median=high"
1135,51,1,0.504607441672023,0.0410974936657276,0.430157974884138,0.591942228339176,"axis_group_median=high"
1167,47,1,0.49387111312581,0.041601830498091,0.418708361067991,0.582526405152248,"axis_group_median=high"
1171,46,1,0.483134784579596,0.0420600138504613,0.407348101379065,0.573021499991136,"axis_group_median=high"
1194,44,1,0.472154448566424,0.0425132332853438,0.395768380330803,0.563283562761451,"axis_group_median=high"
1197,43,1,0.461174112553251,0.0429191381045999,0.384280109448851,0.553454516275418,"axis_group_median=high"
1235,42,1,0.450193776540078,0.0432790595889509,0.37288063546538,0.543537038823341,"axis_group_median=high"
1258,40,1,0.438938932126576,0.0436359777796478,0.361230244096843,0.533364493380479,"axis_group_median=high"
1265,39,1,0.427684087713074,0.0439446001776997,0.349672931127544,0.523099338267756,"axis_group_median=high"
1288,36,1,0.415803974165489,0.0443006737314943,0.337442471734716,0.512362726727939,"axis_group_median=high"
1293,34,1,0.403574445513563,0.0446538442691461,0.324894026384879,0.501309103414036,"axis_group_median=high"
1379,32,1,0.390962744091264,0.0450041633725484,0.311998569295879,0.489912077521153,"axis_group_median=high"
1454,31,1,0.378351042668965,0.0452850655280948,0.299236183270194,0.478383028162864,"axis_group_median=high"
1501,30,1,0.365739341246666,0.0454978364878552,0.286604184221705,0.466724748275379,"axis_group_median=high"
1516,29,1,0.353127639824368,0.04564342906091,0.274100519615348,0.454939414864742,"axis_group_median=high"
1528,27,1,0.340048838349391,0.0457884251734849,0.261170958164586,0.442749122166561,"axis_group_median=high"
1632,24,1,0.3258801367515,0.0460205630064787,0.247088087824949,0.429797585403683,"axis_group_median=high"
2027,21,1,0.310362035001428,0.0463717041278781,0.231573661614753,0.415956599289231,"axis_group_median=high"
2393,15,1,0.289671232668,0.0476733609388823,0.209805449373663,0.399939197413105,"axis_group_median=high"
2620,11,1,0.263337484243636,0.0500872155039338,0.181389762335359,0.382307301773499,"axis_group_median=high"
4961,4,1,0.197503113182727,0.0682772543422511,0.100302492912691,0.388898407049797,"axis_group_median=high"
